category_class	label	definition	synonyms	subsets	crossreferences	txgnn	medical_specialization	anatomical
MONDO:0100267	peroxisome biogenesis disorder due to PEX13 defect	Any Zellweger spectrum disorder in which the cause of the disease is a mutation in the PEX13 gene.	PEX13 related Zellweger spectrum disorder; peroxisome biogenesis disorder due to PEX13 defect	mondo:gard_rare; mondo:disease_grouping; mondo:rare		metabolic_disorder | peroxisome biogenesis disorder	genetics_and_genomics | pediatric | neurology	liver_disorder | peroxisomal_disorder
MONDO:0100266	peroxisome biogenesis disorder due to PEX12 defect	Any Zellweger spectrum disorder in which the cause of the disease is a mutation in the PEX12 gene.	PEX12 related Zellweger spectrum disorder; peroxisome biogenesis disorder due to PEX12 defect	mondo:rare; mondo:nord_rare; mondo:gard_rare; mondo:disease_grouping		metabolic disorder|peroxisome biogenesis disorder	genetics_and_genomics | pediatric | neurology	liver_disorder | peroxisomal disorder
MONDO:0100279	peroxisome biogenesis disorder due to PEX11B defect	Any peroxisome biogenesis disorder in which the cause of the disease is a mutation in the PEX11B gene.	peroxisome biogenesis disorder due to PEX11B defect; PEX11B related peroxisome biogenesis disorder	mondo:disease_grouping; mondo:rare; mondo:gard_rare		metabolic_disorder|neurodegenerative_disease	genetics_and_genomics | pediatric | neurology	liver_disorder | peroxisomal_disorder |
MONDO:0100264	peroxisome biogenesis disorder due to PEX10 defect	Any Zellweger spectrum disorder in which the cause of the disease is a mutation in the PEX10 gene.	PEX10 related Zellweger spectrum disorder; peroxisome biogenesis disorder due to PEX10 defect	mondo:rare; mondo:gard_rare; mondo:disease_grouping		metabolic_disorder|neurodegenerative_disease|adrenal_gland_disease	genetics_and_genomics | pediatric | neurology | hepatology	liver_disorder | peroxisomal_disorder
MONDO:0100259	peroxisome biogenesis disorder due to PEX1 defect	Any Zellweger spectrum disorder in which the cause of the disease is a mutation in the PEX1 gene.	PEX1 related Zellweger spectrum disorder; peroxisome biogenesis disorder due to PEX1 defect	mondo:otar; mondo:disease_grouping; mondo:rare; mondo:gard_rare		metabolic_disorder | neurodegenerative_disease	genetics_and_genomics | hepatology | neurology	liver_disorder | peroxisomal_disorder
MONDO:0013945	peroxisome biogenesis disorder 9B		peroxisome biogenesis disorder type 9B; peroxisome biogenesis disorder 9B	mondo:rare; mondo:gard_rare; mondo:nord_rare	OMIM:614879; DOID:0081438; UMLS:C2749346; GARD:15871; MEDGEN:440765	metabolic_disorder | neurodegenerative_disease | peroxisomal_diseases	genetics_and_genomics | pediatric | neurology	liver_disorder | peroxisomal_biogenesis_disorder
MONDO:0013943	peroxisome biogenesis disorder 8B		peroxisome biogenesis disorder 8B; peroxisome biogenesis disorder type 8B	mondo:gard_rare; mondo:rare; mondo:nord_rare	OMIM:614877; DOID:0081437; GARD:15870; NCIT:C155763; MEDGEN:766874; UMLS:C3553960	metabolic_disorder | neurodegenerative_disease	genetics_and_genomics | pediatrics	liver_disorder | peroxisomal_biogenesis_disorder
MONDO:0013942	peroxisome biogenesis disorder 8A (Zellweger)		peroxisome biogenesis disorder 8A (Zellweger)	mondo:otar; mondo:gard_rare; mondo:nord_rare; mondo:rare	GARD:15869; MEDGEN:766873; DOID:0080483; UMLS:C3553959; OMIM:614876	metabolic disorder | neurodegenerative disease	genetics_and_genomics | hepatology | pediatric | neurology	liver_disorder | peroxisomal_disorder | metabolic_disorder
MONDO:0013939	peroxisome biogenesis disorder 7B		peroxisome biogenesis disorder type 7B; peroxisome biogenesis disorder 7B	mondo:rare; mondo:nord_rare; mondo:gard_rare	DOID:0081436; NCIT:C155761; UMLS:C3553951; MEDGEN:766865; OMIM:614873; GARD:15867	metabolic_disorder|neurodegenerative_disease	genetics_and_genomics | pediatric | neurology	liver_disorder | peroxisomal_disorder
MONDO:0013938	peroxisome biogenesis disorder 7A (Zellweger)		peroxisome biogenesis disorder 7A (Zellweger)	mondo:rare; mondo:otar; mondo:nord_rare; mondo:gard_rare	UMLS:C3888385; DOID:0080482; OMIM:614872; MEDGEN:854881; GARD:15866	metabolic_disorder | neurodegenerative_disease	genetics_and_genomics | hepatology | pediatric | neurology	liver_disorder | peroxisomal_disorder
MONDO:0013937	peroxisome biogenesis disorder 6B		peroxisome biogenesis disorder type 6B; peroxisome biogenesis disorder 6B	mondo:rare; mondo:otar; mondo:nord_rare; mondo:gard_rare	DOID:0081435; MEDGEN:766862; OMIM:614871; NCIT:C155759; UMLS:C3553948; GARD:15865	metabolic_disorder | neurodegenerative_disease	genetics_and_genomics | pediatric | neurology	liver_disorder | peroxisomal_disorder | other
MONDO:0013936	peroxisome biogenesis disorder 6A (Zellweger)		peroxisome biogenesis disorder 6A (Zellweger)	mondo:rare; mondo:otar; mondo:nord_rare; mondo:gard_rare	MEDGEN:766861; DOID:0080481; OMIM:614870; NCIT:C155758; UMLS:C3553947; GARD:15864; MESH:C566422	neurodegenerative_disease|metabolic_disorder|adrenal_gland_disease	genetics_and_genomics | hepatology | pediatrics	liver_disorder | other
MONDO:0013933	peroxisome biogenesis disorder 5B		peroxisome biogenesis disorder type 5B; peroxisome biogenesis disorder 5B	mondo:gard_rare; mondo:rare; mondo:nord_rare	DOID:0081434; OMIM:614867; MEDGEN:762202; NCIT:C155757; GARD:15862; UMLS:C3542026	metabolic_disorder | neurodegenerative_disease	genetics_and_genomics | pediatric	liver_disorder | peroxisome biogenesis disorder 5b is also known as Zellweger syndrome
MONDO:0013932	peroxisome biogenesis disorder 5A (Zellweger)		peroxisome biogenesis disorder 5A (Zellweger)	mondo:gard_rare; mondo:rare; mondo:otar; mondo:nord_rare	OMIM:614866; DOID:0080480; NCIT:C155756; UMLS:C3553940; MEDGEN:766854; GARD:15861	metabolic_disorder|neurodegenerative_disease	genetics_and_genomics | pediatric | neurology	liver_disorder | peroxisome_biogenesis_disorder typically has a wide range of affected systems so the other categories could also be relevant depending on the specific case.
MONDO:0013931	peroxisome biogenesis disorder 4B		peroxisome biogenesis disorder type 4B; peroxisome biogenesis disorder 4B	mondo:rare; mondo:otar; mondo:nord_rare; mondo:gard_rare	OMIM:614863; UMLS:C3553937; NCIT:C155755; MEDGEN:766851; GARD:15860; DOID:0081433	metabolic_disorder|neurodegenerative_disease	genetics_and_genomics | pediatric | neurology	liver_disorder | peroxisome_biogenesis_disorder
MONDO:0013930	peroxisome biogenesis disorder 4A (Zellweger)		classic peroxisome biogenesis disorder; peroxisome biogenesis disorder 4A (Zellweger)	mondo:otar; mondo:rare; mondo:nord_rare; mondo:gard_rare	DOID:0080479; MESH:C563301; GARD:15859; NCIT:C155754; UMLS:C3553936; MEDGEN:766850; OMIM:614862	metabolic_disorder|neurodegenerative_disease	genetics_and_genomics | hepatology | neurology | pediatric	liver_disorder | other
MONDO:0013927	peroxisome biogenesis disorder 3A (Zellweger)		peroxisome biogenesis disorder 3A (Zellweger)	mondo:nord_rare; mondo:gard_rare; mondo:rare; mondo:otar	DOID:0080478; UMLS:C3553929; GARD:15858; MESH:C566633; MEDGEN:766843; OMIM:614859; NCIT:C155752	neurodegenerative_disease | metabolic_disorder	genetics_and_genomics | hepatology | pediatrics | neurology	liver_disorder | peroxisome biogenesis disorder is also related to the brain so brain_disorder would be another fit but since you asked for best fitting categories i can only provide one of them
MONDO:0008736	peroxisome biogenesis disorder 2B		peroxisome biogenesis disorder 2B; peroxisome biogenesis disorder type 2B	mondo:gard_rare; mondo:rare; mondo:nord_rare	UMLS:C3550234; OMIM:202370; NCIT:C155751; MEDGEN:763148; DOID:0080622; GARD:15134	metabolic_disorder | neurodegenerative_disease	genetics_and_genomics | pediatrics | other	liver_disorder | peroxisome biogenesis disorder 2b also affects other systems but liver is most prominent.
MONDO:0008954	peroxisome biogenesis disorder 2A (Zellweger)		peroxisome biogenesis disorder 2A (Zellweger)	mondo:otar; mondo:rare; mondo:nord_rare; mondo:gard_rare	GARD:15149; MEDGEN:763187; UMLS:C3550273; DOID:0080477; OMIM:214110	metabolic_disorder|neurodegenerative_disease|adrenal_gland_disease	genetics_and_genomics | pediatric | neurology	liver_disorder | peroxisome_biosynthesis_disorder
MONDO:0011101	peroxisome biogenesis disorder 1B		peroxisome biogenesis disorder type 1B; peroxisome biogenesis disorder 1B (NALD/IRD); peroxisome biogenesis disorder 1B	mondo:otar; mondo:rare; mondo:nord_rare; mondo:gard_rare	UMLS:C0282527; NCIT:C155749; OMIM:601539; MEDGEN:79470; DOID:0081240	metabolic_disorder | neurodegenerative_disease	genetics_and_genomics | pediatric | neurology	liver_disorder | peroxisomal_disorder
MONDO:0008953	peroxisome biogenesis disorder 1A (Zellweger)		peroxisome biogenesis disorder 1A (Zellweger)	mondo:otar; mondo:rare; mondo:nord_rare; mondo:gard_rare	MEDGEN:1648474; DOID:0080476; UMLS:C4721541; OMIM:214100	metabolic_disorder | neurodegenerative_disease	genetics_and_genomics | hepatology | pediatric | neurology	liver_disorder | peroxisomal_disorder
MONDO:0013967	peroxisome biogenesis disorder 14B		peroxisome biogenesis disorder type 14B; peroxisome biogenesis disorder 14B; PEX11B peroxisome biogenesis disorder	mondo:otar; mondo:gard_rare; mondo:rare; mondo:nord_rare	UMLS:C3554055; MEDGEN:766969; DOID:0081274; OMIM:614920; GARD:15881	metabolic disorder|neurodegenerative disease	genetics_and_genomics | pediatric | neurology	liver_disorder | peroxisome biogenesis disorder 14b can also be related to a kidney_disorder as well
MONDO:0013952	peroxisome biogenesis disorder 13A (Zellweger)		peroxisome biogenesis disorder 13A (Zellweger)	mondo:nord_rare; mondo:otar; mondo:gard_rare; mondo:rare	MESH:C566624; MEDGEN:766918; OMIM:614887; UMLS:C3554004; GARD:15877; DOID:0080487	metabolic_disorder|neurodegenerative_disease|adrenal_gland_disease	genetics_and_genomics | hepatology | pediatric | neurology	liver_disorder | peroxisome biogenesis disorder 13a (zellweger) also affects other systems but liver is a key affected organ
MONDO:0013951	peroxisome biogenesis disorder 12A (Zellweger)		peroxisome biogenesis disorder 12A (Zellweger)	mondo:nord_rare; mondo:otar; mondo:gard_rare; mondo:rare	UMLS:C3554002; GARD:15876; DOID:0080486; MEDGEN:766916; OMIM:614886	metabolic_disorder | neurodegenerative_disease | adrenal_gland_disease	genetics_and_genomics|pediatric|neurology	liver_disorder | peroxisome biogenesis disorder can also affect other organs but liver is primarily affected in Zellweger syndrome.
MONDO:0013950	peroxisome biogenesis disorder 11B		peroxisome biogenesis disorder type 11B; peroxisome biogenesis disorder 11B	mondo:nord_rare; mondo:otar; mondo:gard_rare; mondo:rare	UMLS:C3554001; GARD:15875; MEDGEN:766915; OMIM:614885; DOID:0081439	metabolic disorder | neurodegenerative disease	genetics_and_genomics | pediatric | neurology	liver_disorder | peroxisomal_disease
MONDO:0013949	peroxisome biogenesis disorder 11A (Zellweger)		peroxisome biogenesis disorder 11A (Zellweger)	mondo:rare; mondo:nord_rare; mondo:otar; mondo:gard_rare	UMLS:C3554000; GARD:15874; MEDGEN:766914; OMIM:614883; DOID:0080485	metabolic_disorder|neurodegenerative_disease	genetics_and_genomics | hepatology | pediatrics	liver_disorder|peroxisomal_disorder
MONDO:0054549	peroxisome biogenesis disorder 10B		peroxisome biogenesis disorder 10B	mondo:rare; mondo:gard_rare; mondo:nord_rare	UMLS:C4479254; DOID:0081440; OMIM:617370; MEDGEN:1379481	metabolic disorder | neurodegenerative disease	pediatric | genetics_and_genomics	"liver_disorder | peroxisome biogenesis disorders typically affect the liver 

brain_disorder"
MONDO:0013948	peroxisome biogenesis disorder 10A (Zellweger)		peroxisome biogenesis disorder 10A (Zellweger)	mondo:rare; mondo:otar; mondo:gard_rare; mondo:nord_rare	GARD:15873; OMIM:614882; MEDGEN:766913; DOID:0080484; UMLS:C3553999	metabolic_disorder | neurodegenerative_disease	genetics_and_genomics | hepatology | pediatric | neurology	liver_disorder | peroxisomal_disorder
MONDO:0019234	peroxisome biogenesis disorder	Peroxisome biogenesis disorders, Zellweger syndrome spectrum (PBD-ZSS) is a group of autosomal recessive disorders affecting the formation of functional peroxisomes, characterized by sensorineural hearing loss, pigmentary retinal degeneration, multiple organ dysfunction and psychomotor impairment, and is comprised of the phenotypic variants Zellweger syndrome (ZS), neonatal adrenoleukodystrophy (NALD) and infantile Refsum disease (IRD).	peroxisome biogenesis disorder spectrum; PBD-ZSD; peroxisomal biogenesis disorders, Zellweger syndrome spectrum; peroxisome biogenesis disorder-Zellweger syndrome spectrum; peroxisome biogenesis disorder; peroxisomal biogenesis disorders; PBD, ZSS; peroxisome biogenesis disorders, Zellweger syndrome spectrum	mondo:gard_rare; mondo:clingen; mondo:matrix_included; mondo:disease_grouping; mondo:nord_rare; mondo:otar; mondo:rare; mondo:ordo_group_of_disorders	MESH:C536664; DOID:0080377; OMIMPS:214100; NCIT:C155747; MESH:C531857; SCTID:742876007; icd11.foundation:1919322367; GARD:11890; Orphanet:79189; MEDGEN:330407; NANDO:1200759; UMLS:C1832200; NCIT:C146639; NANDO:2200575	metabolic_disorder | neurodegenerative_disease	genetics_and_genomics | pediatric | neurology	liver_disorder | peroxisomal_disorder | cellular_disorder
MONDO:0009919	peroxisomal acyl-CoA oxidase deficiency	Peroxisomal acyl-CoA oxidase deficiency is a rare neurodegenerative disorder that belongs to the group of inherited peroxisomal disorders and is characterized by hypotonia and seizures in the neonatal period and neurological regression in early infancy.	Pseudoadrenoleukodystrophy; peroxisomal acyl-CoA oxidase deficiency; peroxisomal acyl-coenzyme A oxidase; pseudo-neonatal adrenoleukodystrophy; pseudo-NALD; ACOX1 deficiency	mondo:ordo_disorder; mondo:rare; mondo:clingen; mondo:orphanet_rare; mondo:otar; mondo:gard_rare	UMLS:C1849678; MESH:C536662; DOID:0050797; ICD9:255.41; Orphanet:2971; icd11.foundation:927825451; NCIT:C170437; NANDO:1200765; OMIM:264470; GARD:4543; MEDGEN:376636; SCTID:238069004	metabolic_disorder|neurodegenerative_disease	genetics_and_genomics | pediatric | hepatology	liver_disorder | metabolic_disorder
MONDO:0008230	peroxidase, salivary		peroxidase, salivary		MEDGEN:401440; UMLS:C1868425; OMIM:170990	autoimmune_diseases | metabolic_disorder | inflammatory_disease | cancer	pediatric | endocrinology | pulmonology | allergy_and_immunology | gastroenterology | otolaryngology	salivary_gland_disorder | lymphatic_disorder | upper_gastrointestinal_disorder
MONDO:0009854	peroneus tertius muscle, absence of		peroneus tertius muscle, absence of		MEDGEN:376684; UMLS:C1850001; OMIM:261400	neurodegenerative_disease | muscular_dysfunction	orthopaedic | neurology	muscle_disorder|joint_disorder
MONDO:0002910	peroneal neuropathy	Disease involving the common peroneal nerve or its branches, the deep and superficial peroneal nerves. Lesions of the deep peroneal nerve are associated with paralysis of dorsiflexion of the ankle and toes and loss of sensation from the web space between the first and second toe. Lesions of the superficial peroneal nerve result in weakness or paralysis of the peroneal muscles (which evert the foot) and loss of sensation over the dorsal and lateral surface of the leg. Traumatic injury to the common peroneal nerve near the head of the fibula is a relatively common cause of this condition. (From Joynt, Clinical Neurology, 1995, Ch51, p31)	peroneal neuropathy	mondo:gard_rare; mondo:rare	MESH:D020427; MEDGEN:148182; DOID:4201; NCIT:C27596; UMLS:C0747533	neurodegenerative_disease | autoimmune_diseases | inflammatory_disease	neurology | orthopaedic	muscle_disorder | spinal_disorder
MONDO:0008229	peroneal nerve, accessory deep		peroneal nerve, accessory deep		MESH:C536001; OMIM:170980; UMLS:C1868426; MEDGEN:358317	neurodegenerative_disease | autoimmune_diseases | inflammatory_disease	neurology|orthopaedic	muscle_disorder|spinal_disorder
MONDO:0006903	peroneal nerve paralysis	Paralysis of the nerves located in the legs.	nerve palsy, peroneal; palsy, peroneal nerve; peroneal nerve palsy	mondo:otar	DOID:6925; UMLS:C0270810; EFO:1001102; NCIT:C27061; SCTID:399088004; MESH:D020427; MedDRA:10033828; MEDGEN:78733	neurodegenerative_disease | autoimmune_diseases | inflammatory_disease	neurology | orthopaedic	muscle_disorder|spinal_disorder
MONDO:0008228	pernicious anemia	Megaloblastic anemia caused by vitamin B-12 deficiency due to impaired absorption. The impaired absorption of vitamin B-12 is secondary to atrophic gastritis and loss of gastric parietal cells.	Biermer's anemia; Addison anemia; pernicious anemia; Addison's anemia; Addison-Biermer anaemia; Biermer anemia; Biermer's anaemia; Addison anaemia; Addison-Biermer anemia; anaemia pernicious; juvenile onset pernicious anemia; Biermer anaemia; Addison's anaemia; juvenile onset pernicious anaemia; Biermer disease; intrinsic factor deficiency; acquired pernicious anemia; anemia pernicious; acquired pernicious anaemia	mondo:otar; mondo:rare; mondo:nord_rare; mondo:gard_rare	UMLS:C0002892; OMIM:170900; EFO:0005576; GARD:12671; ICD9:281.0; SCTID:84027009; Orphanet:120; MEDGEN:1531; MESH:D000752; NCIT:C2871; DOID:13381	autoimmune_diseases|anemia	hematology | gastroenterology	blood_bone_marrow_disorder | immune_disorder | upper_gastrointestinal_disorder
MONDO:0012192	permanent neonatal diabetes mellitus-pancreatic and cerebellar agenesis syndrome	Permanent neonatal diabetes mellitus-pancreatic and cerebellar agenesis syndrome is characterized by neonatal diabetes mellitus associated with cerebellar and/or pancreatic agenesis.	pancreatic and cerebellar agenesis	mondo:otar; mondo:ordo_malformation_syndrome; mondo:ordo_disorder; mondo:rare; mondo:gard_rare; mondo:orphanet_rare; mondo:nord_rare	GARD:16670; Orphanet:65288; MEDGEN:332288; MESH:C563796; UMLS:C1836780; OMIM:609069	neurodegenerative_disease | metabolic_disorder	pediatric | genetics_and_genomics | endocrinology	endocrine_disorder | brain_disorder
MONDO:0100165	permanent neonatal diabetes mellitus 1	A rare autosomal recessive disorder characterized by severe hyperglycemia which requires insulin treatment soon after birth. The disorder results from a complete lack of glucokinase; total absence of basal insulin release was observed as well.	PNDM1; diabetes mellitus, permanent neonatal 1	mondo:rare; mondo:gard_rare; mondo:nord_rare	OMIM:606176; MEDGEN:1717586; UMLS:C5393570	metabolic_disorder|autoimmune_diseases	endocrinology|pediatric	endocrine_disorder|blood_bone_marrow_disorder
MONDO:0100164	permanent neonatal diabetes mellitus	Permanent neonatal diabetes mellitus (PNDM) is a monogenic form of neonatal diabetes (NDM) characterized by persistent hyperglycemia within the first 12 months of life in general, requiring continuous insulin treatment.	permanent diabetes mellitus of infancy; PNDM; monogenic diabetes of infancy; PDMI	mondo:orphanet_rare; mondo:rare; mondo:ordo_disorder; mondo:gard_rare; mondo:otar; mondo:nord_rare	icd11.foundation:33655955; OMIMPS:606176; SCTID:609565001; MESH:C563425; Orphanet:99885; UMLS:C1833104; DOID:0060639; NCIT:C114902; GARD:10457; MEDGEN:371484	metabolic_disorder | autoimmune_diseases	endocrinology|pediatric	endocrine_disorder | blood_bone_marrow_disorder | other
MONDO:0030061	periventricular nodular heterotopia 9		PERIVENTRICULAR NODULAR HETEROTOPIA 9; periventricular nodular heterotopia 9; PVNH9	mondo:otar; mondo:rare; mondo:nord_rare; mondo:gard_rare	GARD:16394; MEDGEN:1718470; OMIM:618918; UMLS:C5394503	neurodegenerative_disease|mental_health_disorder|inflammatory_disease	neurology | pediatric	brain_disorder | spinal_disorder
MONDO:0032588	periventricular nodular heterotopia 8			mondo:rare; mondo:gard_rare; mondo:nord_rare	MEDGEN:1648287; UMLS:C4748602; GARD:16303; OMIM:618185	neurodegenerative_disease | mental_health_disorder	neurology | pediatric | genetics_and_genomics	brain_disorder|spinal_disorder
MONDO:0014966	periventricular nodular heterotopia 7	Any periventricular nodular heterotopia in which the cause of the disease is a mutation in the NEDD4L gene.	PVNH7; periventricular nodular heterotopia 7; periventricular nodular heterotopia type 7; periventricular nodular heterotopia 7; PVNH7; NEDD4L periventricular nodular heterotopia; periventricular nodular heterotopia caused by mutation in NEDD4L	mondo:rare; mondo:gard_rare; mondo:clingen; mondo:nord_rare	MEDGEN:934636; OMIM:617201; UMLS:C4310669; GARD:16210	neurodegenerative_disease | mental_health_disorder	neurology|pediatric	brain_disorder|spinal_disorder
MONDO:0014240	periventricular nodular heterotopia 6	Any periventricular nodular heterotopia in which the cause of the disease is a mutation in the ERMARD gene.	periventricular nodular heterotopia 6; periventricular nodular heterotopia caused by mutation in ERMARD; ERMARD periventricular nodular heterotopia; periventricular nodular heterotopia type 6	mondo:rare; mondo:gard_rare; mondo:nord_rare	UMLS:C3809872; GARD:15983; OMIM:615544; MEDGEN:816202	neurodegenerative_disease | inflammatory_disease	neurology|pediatric|genetics_and_genomics	brain_disorder|spinal_disorder
MONDO:0020341	periventricular nodular heterotopia	Periventricular nodular heterotopia (PNH) is a brain malformation, due to abnormal neuronal migration, in which a subset of neurons fails to migrate into the developing cerebral cortex and remains as nodules that line the ventricular surface. Classical PNH is a rare X-linked dominant disorder far more frequent in females who present normal intelligence to borderline intellectual deficit, epilepsy of variable severity and extra-central nervous system signs, especially cardiovascular defects or coagulopathy. The disorder is generally associated with prenatal lethality in males.	periventricular nodular heterotopia; periventricular heterotopia	mondo:nord_rare; mondo:clingen; mondo:gard_rare; mondo:ordo_subtype_of_a_disorder; mondo:rare; mondo:otar	MedDRA:10066854; icd11.foundation:20200096; OMIMPS:300049; Orphanet:98892; MESH:D054091; NANDO:1201079; GARD:12724; DOID:0050454; MEDGEN:358387; UMLS:C1868720	neurodegenerative_disease | other	neurology|pediatric	brain_disorder | spinal_disorder
MONDO:0015742	periventricular leukomalacia	Periventricular leukomalacia (PVL) is a brain injury disorder characterized by the death of the white matter of the brain due to softening of the brain tissue. It can affect fetuses or newborns, and premature babies are at the greatest risk of the disorder. PVL is caused by a lack of oxygen or blood flow to thearea around the ventricles of the brain, which results in the death of brain tissue. Although babies with PVL generally have no apparent signs or symptoms of the disorder at delivery, they are at risk for motor disorders, cerebral palsy, delayed mental development, coordination problems, and vision and hearing impairments. There is no cure for PVL. Treatment is generally supportive. Prognosis is dependent on the extent of damage to the ventricles.		mondo:otar	MedDRA:10052594; MEDGEN:6072; Orphanet:171676; SCTID:230769007; ICD9:742.8; UMLS:C0023529; DOID:13088; NCIT:C99013; EFO:1001101; ICD9:779.7; MESH:D007969	neurodegenerative_disease | metabolic_disorder | inflammatory_disease	neurology | pediatric	brain_disorder|spinal_disorder
MONDO:0011966	periventricular heterotopia with microcephaly, autosomal recessive		periventricular heterotopia with microcephaly, autosomal recessive	mondo:rare; mondo:gard_rare; mondo:nord_rare	MEDGEN:334110; UMLS:C1842563; OMIM:608097; MESH:C564292; GARD:15424	neurodegenerative_disease | metabolic_disorder	genetics_and_genomics | pediatric | neurology	brain_disorder | spinal_disorder
MONDO:0005906	peritonsillar abscess	An abscess that develops in the space surrounding one or both palatine tonsils.	quinsy	mondo:otar	SCTID:15033003; icd11.foundation:1782446047; NCIT:C128322; ICD10CM:J36; ICD9:475; UMLS:C0031157; EFO:0007429; MEDGEN:45819; MESH:D000039	inflammatory_disease | autoimmune_diseases |	otolaryngology | pediatric	throat_disorder | upper_gastrointestinal_disorder
MONDO:0006364	peritoneal well differentiated papillary mesothelioma	A localized or multifocal mesothelioma arising from the peritoneum. It predominantly occurs in women. It is characterized by the formation of papillae, covered by a single layer of blunt mesothelial cells. Mitotic figures are not present. There is no evidence of severe cytologic atypia. It has a relatively favorable clinical outcome, compared to diffuse malignant mesothelioma.	peritoneal well differentiated papillary mesothelioma; peritoneal WDPM	mondo:otar	NCIT:C45661; EFO:1000469; MEDGEN:318015; UMLS:C1709507	cancer | adrenal_gland_disease	oncology | pulmonology | hepatology	lower_gastrointestinal_disorder | lung_disorder
MONDO:0006363	peritoneal multicystic mesothelioma	A cystic mesothelioma that arises from the peritoneum and usually affects young to middle aged females. Grossly, it presents as a large multiloculated tumor mass, usually in the pelvic peritoneum. Histologically it is characterized by the presence of multiple cysts that are lined by one or more layers of mesothelial cells that do not show atypia. Patients usually present with abdominal or pelvic mass and pain. The clinical course is indolent. The tumor may recur, but transformation to diffuse malignant mesothelioma is rare.	peritoneal cystic mesothelioma; multicystic mesothelioma of the peritoneum; peritoneal multicystic mesothelioma; multilocular peritoneal inclusion cyst; multicystic mesothelioma of peritoneum; multicystic mesothelioma	mondo:gard_rare; mondo:otar; mondo:nord_rare; mondo:rare; mondo:ordo_disorder; mondo:orphanet_rare	Orphanet:168816; MEDGEN:233198; GARD:10777; NCIT:C6536; EFO:1000468; SCTID:716650003; UMLS:C1334818	cancer|adrenal_gland_disease|inflammatory_disease	oncology | renal medicine | pulmonology	kidney_disorder|lung_disorder
MONDO:0971145	peritoneal mesothelioma in situ			mondo:matrix_included; mondo:rare; mondo:orphanet_rare; mondo:ordo_disorder	Orphanet:676036	cancer | inflammatory_disease | autoimmune_diseases	oncology|genetics_and_genomics|hematology|gastroenterology|hepatology	lung_disorder | upper_gastrointestinal_disorder | lower_gastrointestinal_disorder | other
MONDO:0800179	periprosthetic joint infection	A bacterial infection of the joint that is a complication occurring in 1% to 2% of primary arthroplasties.				inflammatory_disease | autoimmune_diseases	orthopaedic|rheumatology	joint_disorder|muscle_disorder|bone_disorder
MONDO:0001451	peripheral retinal degeneration	Degeneration of the peripheral retina.	peripheral degeneration of retina; peripheral retinal Degeneration		DOID:12161; UMLS:C1320640; MEDGEN:232938; ICD10CM:H35.4; ICD9:362.6; SCTID:405721006; NCIT:C34919; ICD9:362.60; icd11.foundation:1518234440	neurodegenerative_disease | inflammatory_disease | autoimmune_diseases	neurology | ophthalmology	eye_disorder|spinal_disorder
MONDO:0002982	peripheral primitive neuroectodermal tumor of soft tissues	A small round cell tumor with neural differentiation arising from the soft tissues.	peripheral neuroepithelioma of the soft tissues; peripheral neuroectodermal tumor of the soft tissues; peripheral primitive neuroectodermal tumor of soft tissues; peripheral neuroectodermal tumor of soft tissues; peripheral neuroectodermal tumour of the soft tissues; peripheral neuroectodermal tumour of soft tissues; peripheral neuroepithelioma of soft tissues	mondo:rare; mondo:gard_rare	DOID:4389; UMLS:C1112437; NCIT:C27471; MEDGEN:205115	cancer | neuroectodermal_tumor	oncology|neurology	muscle_disorder | soft_tissue_disorder | other
MONDO:0002981	peripheral primitive neuroectodermal tumor of bone	A small round cell tumor with neural differentiation arising from the bone. It may be associated with pain.	peripheral neuroectodermal tumor of bone; peripheral neuroepithelioma of the bone; peripheral primitive neuroectodermal tumour of bone tissue; osseous peripheral neuroepithelioma; peripheral neuroectodermal tumour of the bone; bone tissue peripheral primitive neuroectodermal tumour; bone tissue peripheral primitive neuroectodermal tumor; peripheral neuroepithelioma of bone; peripheral neuroectodermal tumour of bone; peripheral primitive neuroectodermal tumor of bone tissue; bone peripheral neuroepithelioma; peripheral neuroectodermal tumor of the bone; peripheral primitive neuroectodermal tumor of bone	mondo:nord_rare; mondo:rare; mondo:gard_rare	NCIT:C8776; MEDGEN:163179; DOID:4388; UMLS:C0855009	cancer | neuroectodermal_tumor | bone_cancer	neurology | oncology | orthopaedic	bone_disorder | blood_bone_marrow_disorder
MONDO:0018271	peripheral primitive neuroectodermal tumor	A small round cell tumor with neural differentiation arising from the soft tissues or bone.	peripheral neuroectodermal tumour; PPNET; peripheral neuroectodermal tumor; peripheral primitive neuroectodermal neoplasm; peripheral primitive neuroectodermal tumor; pPNET; peripheral PNET; peripheral neuroepithelioma; peripheral neuroectodermal neoplasm	mondo:rare; mondo:ordo_disorder; mondo:nord_rare; mondo:otar; mondo:orphanet_rare; mondo:gard_rare	GARD:17601; NANDO:2200055; NANDO:2200054; NCIT:C9341; Orphanet:370348; ICDO:9364/3; MEDGEN:151926; UMLS:C0684337	cancer | other | neuroectodermal_tumor	neurology | oncology	brain_disorder|spinal_disorder
